subID,expID,onset,offset,category,trialsID,instanceID,individual_prop_1,individual_prop_2,individual_prop_3,individual_prop_4,individual_prop_5,individual_prop_6,individual_prop_7,individual_prop_8,individual_prop_9,individual_prop_10,individual_prop_11,individual_prop_12,individual_prop_13,individual_prop_14,individual_prop_15,individual_prop_16,individual_prop_17,individual_prop_18,targetGaze
18511,185,86.9,89.15,16,1,31,0.0,0.29244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45467,0.0,0.0,0.0,0.0,0.22622,0.0,0.0,0.22622
18511,185,89.15,91.4,2,1,32,0.0,0.65733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30133,0.0,0.0,0.0,0.0,0.023556,0.0,0.0,0.65733
18511,185,93.85,96.1,4,1,33,0.0,0.0,0.0,0.39022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59289,0.0,0.39022
18511,185,96.1,98.35,17,1,34,0.0,0.0,0.0,0.0,0.58178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40978,0.0,0.40978
18511,185,98.35,100.6,5,1,35,0.0,0.0,0.0,0.0,0.34933,0.0,0.65067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34933
18511,185,100.6,102.85,7,1,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18511,185,105.3,107.55,6,1,37,0.0,0.0,0.36444,0.0,0.0,0.34178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15111,0.098667,0.0,0.0,0.0,0.34178
18511,185,107.55,109.8,14,1,38,0.0,0.0,0.0,0.0,0.0,0.12133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86089,0.0,0.0,0.0,0.0,0.86089
18511,185,109.8,112.05,15,1,39,0.0,0.0,0.62356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14711,0.22133,0.0,0.0,0.0,0.22133
18511,185,112.05,114.3,3,1,40,0.0,0.0,0.35778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61689,0.0,0.0,0.0,0.35778
18511,185,116.75,119.0,18,1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071556,0.0,0.0,0.0,0.0,0.0,0.0,0.21333,0.088889,0.0,0.48756,0.48756
18511,185,119.0,121.25,16,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.176
18511,185,121.25,123.5,8,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18511,185,123.5,125.75,15,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.44933,0.0,0.0,0.46
18511,185,128.2,130.45,14,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.644,0.176
18511,185,130.45,132.7,8,1,46,0.14311,0.0,0.0,0.0,0.0,0.0,0.0,0.47689,0.0,0.0,0.0,0.0,0.0,0.25822,0.0,0.0,0.0,0.10311,0.47689
